magazine_id,data_article,data_external_id,aria_label,lang,tag_name,class_name,page_number,url
7,1698698/10/1,_10_1,Atuagaq sakkortooq pisariaqartorlu,da,path,"{'animVal': 'article', 'baseVal': 'article'}",5,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/8
7,1698698/10/2,_10_2,Hård og nødvendig bog,da,path,"{'animVal': 'article', 'baseVal': 'article'}",5,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/8
7,1698698/12/1,_12_1,»Meeqqat kissaatit amigaataapput«,da,path,"{'animVal': 'article', 'baseVal': 'article'}",6,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/10
7,1698698/12/2,_12_2,»Ønskebørn er mangelvare«,da,path,"{'animVal': 'article', 'baseVal': 'article'}",6,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/10
7,1698698/14/1,_14_1,Danskit inissisimanerlunnerat – Nunatsinnut iluaqutaasinnaasoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",7,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/12
7,1698698/16/1,_16_1,Dansk nedtur – et plus for Grønland,da,path,"{'animVal': 'article', 'baseVal': 'article'}",8,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/14
7,1698698/18/1,_18_1,Nunaqarfiimmi?,da,path,"{'animVal': 'article', 'baseVal': 'article'}",9,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/16
7,1698698/18/2,_18_2,Men hvad med bygder?,da,path,"{'animVal': 'article', 'baseVal': 'article'}",9,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/16
7,1698698/18/3,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",9,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/16
7,1698698/2/1,_2_1,AG isumaqarpoq AG mener TASS’ TAAMATUT!,da,path,"{'animVal': 'article', 'baseVal': 'article'}",1,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/1
7,1698698/2/2,_2_2,SÅDAN!,da,path,"{'animVal': 'article', 'baseVal': 'article'}",1,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/1
7,1698698/20/1,_20_1,Eqqumiitsuliornikkut ilisarnaatissarput,da,path,"{'animVal': 'article', 'baseVal': 'article'}",10,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/18
7,1698698/20/2,_20_2,Vores kunstneriske identitet,da,path,"{'animVal': 'article', 'baseVal': 'article'}",10,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/18
7,1698698/22/1,_22_2,Færøerne overhaler Grønland,da,path,"{'animVal': 'article', 'baseVal': 'article'}",11,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/20
7,1698698/23/1,_22_1,Savalimmiunit nunarput qaangerneqarpoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",11,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/20
7,1698698/23/2,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",12,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/22
7,1698698/24/1,_24_1,nutaarsiassat naatsut kort nyt,da,path,"{'animVal': 'article', 'baseVal': 'article'}",12,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/22
7,1698698/25/1,_24_2,nutaarsiassat naatsut kort nyt,da,path,"{'animVal': 'article', 'baseVal': 'article'}",12,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/22
7,1698698/26/1,_26_1,Suli neriuutaarutinngilagut,da,path,"{'animVal': 'article', 'baseVal': 'article'}",13,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/24
7,1698698/26/2,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",13,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/24
7,1698698/28/1,_28_1,Vi har ikke opgivet håbet,da,path,"{'animVal': 'article', 'baseVal': 'article'}",14,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/26
7,1698698/28/2,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",14,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/26
7,1698698/30/1,_30_1,Silap allanngoriartupiloornera,da,path,"{'animVal': 'article', 'baseVal': 'article'}",15,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/28
7,1698698/30/2,_30_2,Foden på klima-speederen,da,path,"{'animVal': 'article', 'baseVal': 'article'}",15,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/28
7,1698698/30/3,_30_3,Ilaqutariit 10.000 koruuninnassapput,da,path,"{'animVal': 'article', 'baseVal': 'article'}",15,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/28
7,1698698/30/4,_30_4,Folketingimi Savalimmiormiu qaqutigoortoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",15,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/28
7,1698698/30/5,_30_6,En sjælden færing i tinget,da,path,"{'animVal': 'article', 'baseVal': 'article'}",15,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/28
7,1698698/30/6,_30_7,Familier får 10.000 kroner,da,path,"{'animVal': 'article', 'baseVal': 'article'}",15,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/28
7,1698698/30/7,_30_9,Nunasisut Islandimiut inuusunnerulersikkaat,da,path,"{'animVal': 'article', 'baseVal': 'article'}",15,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/28
7,1698698/30/8,_30_10,Indvandrere gør Island yngre,da,path,"{'animVal': 'article', 'baseVal': 'article'}",15,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/28
7,1698698/31/1,_30_5,Sila eqqumiitsoq…,da,path,"{'animVal': 'article', 'baseVal': 'article'}",15,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/28
7,1698698/31/2,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",16,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/30
7,1698698/31/3,_30_8,Det mærkelige vejr…,da,path,"{'animVal': 'article', 'baseVal': 'article'}",15,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/28
7,1698698/31/4,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",16,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/30
7,1698698/32/1,_32_1,Bornholmimiu kalaallisut oqaasilik,da,path,"{'animVal': 'article', 'baseVal': 'article'}",16,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/30
7,1698698/34/1,_34_1,Den grønlandsktalende bor n holmer,da,path,"{'animVal': 'article', 'baseVal': 'article'}",17,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/32
7,1698698/36/1,_36_1,ICC-p kinaassuseq pillugu isummersorneq tikilluaqquaa,da,path,"{'animVal': 'article', 'baseVal': 'article'}",18,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/34
7,1698698/36/2,_36_2,Uter titsisarneq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",18,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/34
7,1698698/36/3,_36_3,Kangerlussuarmi ilaqutariit sulisartukkormiut qanoq piniarpisigit?,da,path,"{'animVal': 'article', 'baseVal': 'article'}",18,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/34
7,1698698/36/4,_36_5,Returemballage,da,path,"{'animVal': 'article', 'baseVal': 'article'}",18,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/34
7,1698698/36/5,_36_6,Hvad skal der ske med arbejderfamilierne i Kangerlussuaq?,da,path,"{'animVal': 'article', 'baseVal': 'article'}",18,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/34
7,1698698/37/1,_36_4,ICC byder debatten om identitet velkommen,da,path,"{'animVal': 'article', 'baseVal': 'article'}",18,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/34
7,1698698/37/2,_36_7,"Naalakkersuisuts handlingsplan er mangelfuld, og bør ikke stå alene",da,path,"{'animVal': 'article', 'baseVal': 'article'}",18,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/34
7,1698698/38/1,_38_1,illit isummat din mening Sermersooqs ledelse forhandlede på skrømt,da,path,"{'animVal': 'article', 'baseVal': 'article'}",19,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/36
7,1698698/38/5,_38_3,"Naalakkersuisut iliuusissatut pilersaarutaat amigarpoq, ilassuteqaranilu ator tariaqanngilaq",da,path,"{'animVal': 'article', 'baseVal': 'article'}",19,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/36
7,1698698/39/1,_38_2,Sermersuumi aqutsisut isumaqatiginninniartuusaarput,da,path,"{'animVal': 'article', 'baseVal': 'article'}",19,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/36
7,1698698/4/1,_4_1,Suliaq mianernartorujussuaq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",1,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/1
7,1698698/44/1,_44_1,»UNNIA«,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/42
7,1698698/44/2,_44_2,Piniartoq oqariartuutilik,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/42
7,1698698/44/3,_44_3,Fanger med et budskab,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/42
7,1698698/44/4,_44_4,Erling natermi qillarissakkami,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/42
7,1698698/44/5,_44_6,Erling på de bonede gulve,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/42
7,1698698/45/1,_44_5,Kulturimik nittarsaassisoq Amerikamiu,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/42
7,1698698/45/2,_44_7,Amerikansk kulturambassadør,da,path,"{'animVal': 'article', 'baseVal': 'article'}",22,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/42
7,1698698/46/1,_46_4,»UNNIA«,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/44
7,1698698/46/2,_46_5,Atsiisoq kinaassutsiminik isertuussisoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/44
7,1698698/46/3,_46_9,Anonym navnegiver,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/44
7,1698698/47/1,_46_1,Thailandimi qimuttuitsut puttasut nuannarineqartorujussuusut,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/44
7,1698698/47/2,_46_2,Tysklandimi juullip inua Ukrainemiusut oqaluttaleriasaartoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/44
7,1698698/47/3,_46_3,Alersit sissamut mingutsitsisinnaasut,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/44
7,1698698/47/4,_46_6,Thailands flydende tog er et stort hit,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/44
7,1698698/47/5,_46_7,Tysk julemand kan pludselig ukrainsk,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/44
7,1698698/47/6,_46_8,Harry Potter-sokker truer kystmiljøet,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/44
7,1698698/48/1,_48_1,Angunnguaq Innersuannappoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",24,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/46
7,1698698/48/2,_48_2,Innersuaq gik til Angunnguaq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",24,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/46
7,1698698/6/1,_6_1,En meget følsom sag,da,path,"{'animVal': 'article', 'baseVal': 'article'}",3,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/4
7,1698698/8/1,_8_1,Novembarimi naneruutinik ikiterineq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",4,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/6
7,1698698/8/2,_8_2,At tænde lys i november Tavshed er guld…,da,path,"{'animVal': 'article', 'baseVal': 'article'}",4,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/6
8,1702870/10/1,_10_1,»Gavner ikke befolkningen«,da,path,"{'animVal': 'article', 'baseVal': 'article'}",5,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/8
8,1702870/10/2,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",5,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/8
8,1702870/12/1,_12_1,Nakorsamut utaqqineq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",6,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/10
8,1702870/12/2,_12_3,Venter på lægen,da,path,"{'animVal': 'article', 'baseVal': 'article'}",6,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/10
8,1702870/13/1,_12_2,Uagut inuiaqatigiinnik aaqqissuussisuuvugut  paata tunngavigalugu immik sumik ingerlaqqullugu taa ralugu partiip ilisarnaatigin git naleqartitat tunngaviusu taassannginnissaat. Aamma Vi er systemet Sooq annaasaqaaterujussuuva? Soorlumi: partiimi taaguunneqarnerpaat pingajuata ilaasortaajunnaarnera. Nukissalik,da,path,"{'animVal': 'article', 'baseVal': 'article'}",6,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/10
8,1702870/16/1,_16_1,nutaarsiassat naatsut kort nyt,da,path,"{'animVal': 'article', 'baseVal': 'article'}",8,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/14
