Hàng,Thứ tự,Dạng Layout,URL,Tiêu đề,Grid Size,Ghi chú
1,0,1_full,https://www.sermitsiaq.ag/samfund/mette-frederiksen-det-er-en-alvorlig-situation/2334931,Mette Frederiksen: Det er en alvorlig situation,12,
2,2000,2_articles,https://www.sermitsiaq.ag/kultur/fra-lille-ide-til-landsdaekkende-vintertradition/2334390,Fra lille idé til landsdækkende vintertradition,6,
2,2001,2_articles,https://www.sermitsiaq.ag/samfund/hun-vil-have-bornenes-stemmer-frem-i-debatten/2322918,Hun vil have børnenes stemmer frem i debatten,6,
3,4000,1_full,https://www.sermitsiaq.ag/samfund/mette-frederiksen-vinkede-til-angunnguaq/2326415,Regeringsledere på besøg i børnehave,12,
4,6000,3_articles,https://www.sermitsiaq.ag/samfund/udvalgsmedlem-haber-pa-bedre-og-mere-respektfuld-dialog-med-usa/2334718,Udvalgsmedlem håber på bedre og mere respektfuld dialog med USA,4,
4,6001,3_articles,https://www.sermitsiaq.ag/samfund/mette-frederiksen-lander-i-nuuk-i-dag/2334524,Mette Frederiksen i Nuuk: Vil vise opbakning til den grønlandske befolkning,4,
4,6002,3_articles,https://www.sermitsiaq.ag/sport/klar-til-vm-i-ironman-igen/2329640,Klar til VM i Ironman igen,4,
5,7000,1_with_list_right,https://www.sermitsiaq.ag/samfund/naalakkersuisut-nato-har-ikke-handlet-bag-gronlands-ryg/2334129,Naalakkersuisut: NATO har ikke handlet bag Grønlands ryg,6,
6,8000,2_articles,https://www.sermitsiaq.ag/samfund/soldater-i-gaderne-i-nuuk/2333100,Soldater i gaderne i Nuuk,6,
6,8001,2_articles,https://www.sermitsiaq.ag/samfund/boassen-til-maga-fest-gronlandskage-med-usa-flag/2334019,Boassen til MAGA-fest: Grønlandskage med USA-flag,6,
7,10000,1_full,https://www.sermitsiaq.ag/erhverv/fra-udenrigsminister-til-lobbyist-for-kontroversielt-rastofselskab/2333498,Fra udenrigsminister til lobbyist for kontroversielt råstofselskab,12,
